% of Respondents,Statement pair,Label
13%,"“Innovate first, regulate later”/ “Safety first, prevent future potential risks”",Aligns completely with the first statement
17%,“Responsible AI is a compliance issue”/ “Responsible AI is a value driver for unlocking potential”,Aligns completely with the first statement
18%,“RAI risks are industry-specific”/ “RAI risks are industry-agnostic”,Aligns completely with the first statement
20%,“GenAI risks are the responsibility of foundation model providers”/ “GenAI risks are the responsibility of GenAI users”,Aligns completely with the first statement
18%,“Closed-source models are safer”/ “Open-source models are safer”,Aligns completely with the first statement
21%,“Actively exploring minimally supervised AI agents”/ “Agents are currently too risky for large-scale adoption”,Aligns completely with the first statement
23%,"“Innovate first, regulate later”/ “Safety first, prevent future potential risks”",Aligns somewhat with the first statement
28%,“Responsible AI is a compliance issue”/ “Responsible AI is a value driver for unlocking potential”,Aligns somewhat with the first statement
37%,“RAI risks are industry-specific”/ “RAI risks are industry-agnostic”,Aligns somewhat with the first statement
33%,“GenAI risks are the responsibility of foundation model providers”/ “GenAI risks are the responsibility of GenAI users”,Aligns somewhat with the first statement
32%,“Closed-source models are safer”/ “Open-source models are safer”,Aligns somewhat with the first statement
37%,“Actively exploring minimally supervised AI agents”/ “Agents are currently too risky for large-scale adoption”,Aligns somewhat with the first statement
30%,"“Innovate first, regulate later”/ “Safety first, prevent future potential risks”",Aligns somewhat with the second statement
33%,“Responsible AI is a compliance issue”/ “Responsible AI is a value driver for unlocking potential”,Aligns somewhat with the second statement
30%,“RAI risks are industry-specific”/ “RAI risks are industry-agnostic”,Aligns somewhat with the second statement
31%,“GenAI risks are the responsibility of foundation model providers”/ “GenAI risks are the responsibility of GenAI users”,Aligns somewhat with the second statement
29%,“Closed-source models are safer”/ “Open-source models are safer”,Aligns somewhat with the second statement
29%,“Actively exploring minimally supervised AI agents”/ “Agents are currently too risky for large-scale adoption”,Aligns somewhat with the second statement
