state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
Alaska,AK,AK H    53,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000H53&ciq=urn:user:PA196471263&client_md=85d6cb4fd70e224ce2270392723fa40b&mode=current_text,Appropriations for Operating and Loan Program,Rules Cmt,NA,"Appropriations, Government Use",Enacted - Act No.  2025-10,08/02/2025 - Enacted,2025-01,"Makes appropriations for the operating and loan program expenses of state government and for certain programs, capitalizes funds, amends appropriations, makes supplemental appropriations.","01/22/2025 - INTRODUCED.
01/22/2025 - To HOUSE Committee on FINANCE.
04/10/2025 - To HOUSE Committee on RULES.
04/10/2025 - From HOUSE Committee on RULES:  Placed on calendar.
04/11/2025 - From HOUSE Committee on FINANCE:  Do pass with substitute.
04/11/2025 - To HOUSE Committee on RULES.
04/11/2025 - From HOUSE Committee on RULES:  Placed on calendar.
04/11/2025 - FINANCE Committee substitute adopted on HOUSE floor.
04/11/2025 - Amended on HOUSE floor.
04/14/2025 - Amended on HOUSE floor.
04/15/2025 - Amended on HOUSE floor.
04/16/2025 - Passed HOUSE.  *****To SENATE.
04/23/2025 - To SENATE Committee on FINANCE.
05/05/2025 - From SENATE Committee on FINANCE:  Do pass with substitute.
05/05/2025 - To SENATE Committee on RULES.
05/05/2025 - From SENATE Committee on RULES:  Placed on calendar.
05/05/2025 - FINANCE Committee substitute adopted on SENATE floor.
05/07/2025 - Amended on SENATE floor.
05/08/2025 - Passed SENATE.  *****To HOUSE for concurrence.
05/09/2025 - HOUSE refused to concur in SENATE amendment.
05/12/2025 - SENATE refuses to recede from amendments.
05/12/2025 - *****To CONFERENCE Committee.
05/14/2025 - *****To Free CONFERENCE Committee.
05/20/2025 - Free CONFERENCE Committee Report adopted by SENATE.
05/20/2025 - Free CONFERENCE Committee Report adopted by HOUSE.
05/20/2025 - Eligible for GOVERNOR'S desk.
05/27/2025 - *****To GOVERNOR.
06/12/2025 - Line Item Vetoed by GOVERNOR.
08/02/2025 - Line Item Veto overridden by HOUSE.
08/02/2025 - Line Item Veto overridden by SENATE.
08/02/2025 - Chapter No. 2025-10",176520,26241,FALSE,NA,121.23,4.7,29,13.6,2025,Republican
Alaska,AK,AK HCR  3,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000HCR3&ciq=urn:user:PA196471263&client_md=690b11f6b311446aebe70310bbaad5ce&mode=current_text,AI Legislative Task Force,Rauscher (R),Republican,"Education/Training, Energy, Government Use, Effect on Labor/Employment, Private Sector Use, Studies",Pending - Carryover - House Finance Committee,45714,2025-02,Establishes the Joint Legislative Task Force on Artificial Intelligence.,"02/26/2025 - INTRODUCED.
02/26/2025 - To HOUSE Committee on COMMUNITY AND REGIONAL AFFAIRS.
02/26/2025 - Additionally referred to HOUSE Committee on STATE AFFAIRS.
04/11/2025 - From HOUSE Committee on COMMUNITY AND REGIONAL AFFAIRS:  Do pass with substitute.
04/11/2025 - To SENATE Committee on STATE AFFAIRS.
04/11/2025 - STATE AFFAIRS Committee referral waived.
04/11/2025 - To HOUSE Committee on FINANCE.",4625,671,TRUE,"artificial intelligence includes a diverse and growing set of tools and technology, including expert systems, machine learning, generative agents, new hardware platforms and software systems;",121.17,4.7,32,13.7,2025,Republican
Alaska,AK,AK S    2,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S2&ciq=urn:user:PA196471263&client_md=9caebbbd988e680651a3ae6f3ae50e78&mode=current_text,Deepfake Disclosure,Hughes (R),Republican,"Criminal Use, Elections, Government Use, Impact Assessment, Notification",Pending - Carryover - Senate State Affairs Committee,45678,2025-01,"Relates to the disclosure of election related deepfakes, relates to use of artificial intelligence by State agencies, relates to the transfer of data about individuals between State agencies.","01/10/2025 - PREFILED.
01/21/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on STATE AFFAIRS.
01/22/2025 - Additionally referred to SENATE Committee on JUDICIARY.",13482,2036,TRUE,generative artificial intelligence or rules-based artificial intelligence,121.23,4.7,29,13.6,2025,Republican
Alaska,AK,AK S    33,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S33&ciq=urn:user:PA196471263&client_md=461195d214c9d468a42e61f44a2abd41&mode=current_text,Synthetic Media Liability,Cronk (R),Republican,"Elections, Provenance",Pending - Carryover - Senate State Affairs Committee,45678,2025-01,"Relates to defamation claims based on the use of synthetic media, relates to the use of synthetic media in electioneering communications.","01/10/2025 - PREFILED.
01/21/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on STATE AFFAIRS.
01/22/2025 - Additionally referred to SENATE Committee on JUDICIARY.",5804,887,TRUE,"a machine-based system that, for explicit or implicit objectives, infers, from the input the system receives, how to generate outputs, including predictions, content, recommendations, and decisions that can influence physical or virtual environments, with different artificial intelligence systems varying in levels of autonomy and adaptiveness after deployment;",121.23,4.7,29,13.6,2025,Republican
Alaska,AK,AK S    64,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S64&ciq=urn:user:PA196471263&client_md=409664ef07da1fbcc4c7535b0dedb35b&mode=current_text,Elections,Rules Cmt,NA,Elections,Pending - Carryover - HOUSE,45789,2025-01,"Relates to elections, relates to voters, relates to voting, relates to voter registration, relates to election administration, relates to the Alaska Public Offices Commission, relates to campaign contributions, relates to the crimes of unlawful interference with voting in the first degree, unlawful interference with an election, and election official misconduct, relates to synthetic media in electioneering communications, relates to campaign signs, relates to voter registration on permanent fund dividend.","01/24/2025 - INTRODUCED.
01/24/2025 - To SENATE Committee on STATE AFFAIRS.
01/24/2025 - Additionally referred to SENATE Committee on FINANCE.
03/28/2025 - From SENATE Committee on STATE AFFAIRS:  Do pass with substitute.
03/28/2025 - To SENATE Committee on FINANCE.
05/09/2025 - From SENATE Committee on FINANCE:  Do pass with substitute.
05/09/2025 - To SENATE Committee on RULES.
05/09/2025 - From SENATE Committee on RULES:  Placed on calendar.
05/09/2025 - FINANCE Committee substitute adopted on SENATE floor.
05/12/2025 - Amended on SENATE floor.
05/12/2025 - Passed SENATE.  *****To HOUSE.
05/13/2025 - To HOUSE Committee on FINANCE.
05/19/2025 - To HOUSE Committee on RULES.
05/19/2025 - From HOUSE Committee on RULES:  Placed on calendar.
05/20/2025 - To HOUSE Committee on RULES.
05/20/2025 - From HOUSE Committee on RULES:  Placed on calendar.",64238,10478,FALSE,NA,121.23,4.7,29,13.6,2025,Republican
Alabama,AL,AL H    169,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H169&ciq=urn:user:PA196471263&client_md=5883624f12ed272ea6ef90117e0c6cca&mode=current_text,Public Education,Garrett (R),Republican,"Appropriations, Education Use",Failed - Adjourned - House Ways and Means Education Committee,45693,2025-02,"Relates to make appropriations for the support, maintenance and development of public education in state, for debt service, and for capital outlay for the fiscal year ending specific date.","02/05/2025 - INTRODUCED.
02/05/2025 - To HOUSE Committee on WAYS AND MEANS EDUCATION.",140012,20471,FALSE,NA,142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    208,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H208&ciq=urn:user:PA196471263&client_md=856c22743bcd370fe814bcedeb11059a&mode=current_text,State Government,Shaw (R),Republican,Government Use,Failed - Adjourned - HOUSE,45694,2025-02,"Relates to secretary of Information Technology, duties cybertechnology technology quality assurance for state agencies further provided.","02/06/2025 - INTRODUCED.
02/06/2025 - To HOUSE Committee on STATE GOVERNMENT.",4590,646,FALSE,NA,142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    235,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H235&ciq=urn:user:PA196471263&client_md=4e6de89d72a83ce4d269f86209e76af7&mode=current_text,Social Media,Faulkner (R),Republican,NA,Failed - Adjourned - House Children and Senior Advocacy Committee,45694,2025-02,"Concerns social media, prohibits individuals under 16 years of age from creating accounts, requires age verification, establishes penalties for violations.","02/06/2025 - INTRODUCED.
02/06/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",2101,354,FALSE,NA,142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    276,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H276&ciq=urn:user:PA196471263&client_md=7bb1f896f172743aa494822ee6dcaf0b&mode=current_text,Social Media Platforms Account Termination,Robbins (R),Republican,Private Sector Use,Failed - Adjourned - House Children and Senior Advocacy Committee,45701,2025-02,"Concerns consumer protection, requires social media platforms terminate certain accounts, displays notifications, prohibits certain actions, relates to use of age verification, provides for certain tools, removes certain content, provides for penalties violations.","02/13/2025 - INTRODUCED.
02/13/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",13904,2284,FALSE,NA,142,3.3,1386,129.5,2025,Republican
Alabama,AL,AL H    283,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H283&ciq=urn:user:PA196471263&client_md=1c7fb73e53fbaea44b24dcb3e424dbb3&mode=current_text,Data Privacy,Shaw (R),Republican,Private Sector Use,Failed - Adjourned - Senate Fiscal Responsibility and Economic Development Committee,45769,2025-02,"Concerns data privacy, regulates processing of data, authorizes consumer actions related to data.","02/13/2025 - INTRODUCED.
02/13/2025 - To HOUSE Committee on COMMERCE AND SMALL BUSINESS.
04/09/2025 - From HOUSE Committee on COMMERCE AND SMALL BUSINESS:  Reported favorably.
04/22/2025 - COMMERCE AND SMALL BUSINESS Committee substitute offered on HOUSE floor.
04/22/2025 - COMMERCE AND SMALL BUSINESS Committee substitute adopted on HOUSE floor.
04/22/2025 - Passed HOUSE.  *****To SENATE.
04/24/2025 - To SENATE Committee on FISCAL RESPONSIBILITY AND ECONOMIC DEVELOPMENT.",40851,6425,TRUE,"ARTIFICIAL INTELLIGENCE MODEL. The underlying machine learning algorithm, along with its derived parameters, including, but not limited to, weights, biases, and other internal representations that result solely from the training process, and which does not inherently contain personally identifiable information unless that information has been explicitly embedded in the algorithm. The term does not include any downstream system or application that uses the model.",142,3.3,1386,129.5,2025,Republican
