% of respondents,Generative AI use case,Function
12%,"Integration of gen AI into the workflow of human customer service representatives (e.g., providing real-time suggestions for responses during human-to-human phone conversations)",Service operations
11%,"Accelerated early simulation/testing phases (i.e., refining and accelerating targeted customer research or interviews via gen AI’s synthesis and writing capabilities)",R&D/product development
14%,Design development,R&D/product development
11%,Scientific literature and research review,R&D/product development
13%,Automation of sales follow-up interactions,Marketing and sales
19%,"Personalization (e.g., personalized creative content generation at scale)",Marketing and sales
27%,"Marketing strategy content support (i.e., drafting, generating ideas, and presenting relevant knowledge for creating marketing strategy)",Marketing and sales
11%,Sales lead identification and prioritization,Marketing and sales
13%,"Code creation (i.e., using code assistants, leveraging natural-language-to-code translation, debugging, development of tests)",Software engineering
19%,Knowledge management,Other corporate functions
